,hoopR_ID,athlete,nba_api_ID
401,3057187,Sterling Brown,1628425
402,3057189,Ben Moore,1628500
403,3057198,Brandon Goodwin,1629164
404,3058030,Paul Watson,1628778
405,3058254,Christian Wood,1626174
406,3058269,Joe Chealey,1629147
407,3059262,Davon Reed,1628432
408,3059273,Demetrius Jackson,1627743
409,3059276,Jamel Artis,1628503
410,3059280,BJ Johnson,1629168
411,3059281,Tyler Ennis,203898
412,3059285,Devon Hall,1628985
413,3059306,Johnathan Motley,1628405
414,3059307,Ish Wainright,1630688
415,3059311,Matt Thomas,1629744
416,3059315,Frank Mason III,1628412
417,3059318,Joel Embiid,203954
418,3059319,Andrew Wiggins,203952
419,3059336,Isaiah Taylor,1627819
420,3059358,Deonte Burton,1629126
421,3059409,Nigel Hayes,1628502
422,3062667,DeAndre' Bembry,1627761
423,3062679,Josh Hart,1628404
424,3062744,David Nwaba,1628021
425,3062892,Kay Felder,1627770
426,3062897,Alec Peters,1628409
427,3064230,Cameron Payne,1626166
428,3064237,Antonius Cleveland,1628499
429,3064290,Aaron Gordon,203932
430,3064291,Rondae Hollis-Jefferson,1626178
431,3064308,Jabari Bird,1628444
432,3064320,George King,1628994
433,3064427,Jordan Bell,1628395
434,3064440,Zach LaVine,203897
435,3064447,Delon Wright,1626153
436,3064457,Nigel Williams-Goss,1628430
437,3064482,Bobby Portis,1626171
438,3064509,James Young,203923
439,3064510,Aaron Harrison,1626151
440,3064511,Andrew Harrison,1626150
441,3064514,Julius Randle,203944
442,3064516,Dakari Johnson,1626177
443,3064517,Jarell Martin,1626185
444,3064520,Jordan Mickey,1626175
445,3064528,Johnathan Williams,1629140
446,3064539,Sindarius Thornwell,1628414
447,3064559,Damian Jones,1627745
448,3064560,Luke Kornet,1628436
449,3074213,Omer Yurtseven,1630209
450,3074743,Troy Caupain,1628505
451,3074748,Amida Brimah,1628578
452,3074752,Terry Rozier,1626179
453,3074765,Isaiah Hicks,1628439
454,3074797,Wes Iwundu,1628411
455,3078284,Noah Vonleh,203943
456,3078286,Troy Williams,1627786
457,3078576,Derrick White,1628401
458,3079021,James Webb III,1627821
459,3102529,Clint Capela,203991
460,3102533,Thanasis Antetokounmpo,203648
461,3113297,Bruno Caboclo,203998
462,3113587,Cristiano Felicio,1626245
463,3129674,Donte Grantham,1629055
464,3129932,Xavier Cooks,1641645
465,3129951,Elijah Bryant,1629091
466,3132042,Gary Clark,1629109
467,3133596,Kelan Martin,1629103
468,3133601,Devonte' Graham,1628984
469,3133602,Svi Mykhailiuk,1629004
470,3133603,Kelly Oubre Jr.,1626162
471,3133626,Kenrich Williams,1629026
472,3133628,Myles Turner,1626167
473,3133635,Jevon Carter,1628975
474,3133817,Eric Paschall,1629672
475,3133838,Yuta Watanabe,1629139
476,3133843,Jared Terrell,1629123
477,3133874,Jaylen Adams,1629121
478,3134880,Kadeem Allen,1628443
479,3134881,Stanley Johnson,1626169
480,3134903,Gary Payton II,1627780
481,3134907,Kyle Kuzma,1628398
482,3134908,Jakob Poeltl,1627751
483,3134916,Jordan McLaughlin,1629162
484,3134932,John Konchar,1629723
485,3135045,Grayson Allen,1628960
486,3135046,Tyus Jones,1626145
487,3135047,Justise Winslow,1626159
488,3135048,Jahlil Okafor,1626143
489,3136183,Yante Maten,1628999
490,3136193,Devin Booker,1626164
491,3136194,Tyler Ulis,1627755
492,3136195,Karl-Anthony Towns,1626157
493,3136196,Trey Lyles,1626168
494,3136477,Isaiah Whitehead,1627785
495,3136479,Angel Delgado,1629116
496,3136483,J.P. Macura,1629122
497,3136485,Edmond Sumner,1628410
498,3136491,D.J. Wilson,1628391
499,3136696,Wade Baldwin IV,1627735
500,3136746,Vic Law,1629724
501,3136776,D'Angelo Russell,1626156
502,3136777,Jae'Sean Tate,1630256
503,3136779,Keita Bates-Diop,1628966
504,3136989,Vincent Edwards,1629053
505,3137259,Gabe Vincent,1629216
506,3137713,Zylan Cheatham,1629597
507,3137730,Patrick McCaw,1627775
508,3137733,Rashad Vaughn,1626173
509,3137795,Chris Chiozza,1629185
510,3137798,Devin Robinson,1628421
511,3138120,Mindaugas Kuzminskas,1627851
512,3138154,Theo Pinson,1629033
513,3138156,Justin Jackson,1628382
514,3138160,Caleb Martin,1628997
515,3138161,Cody Martin,1628998
516,3138192,Bonzie Colson,1629045
517,3138196,Cameron Johnson,1629661
518,3138201,Marial Shayok,1629621
519,3143565,Kevin Hervey,1628987
520,3146557,Jock Landale,1629111
521,3147351,Daniel Hamilton,1627772
522,3147366,Chinanu Onuaku,1627778
523,3147657,Mikal Bridges,1628969
524,3149010,Chandler Hutchison,1628990
525,3149036,Matt Mooney,1629760
526,3149059,Tariq Owens,1629745
