hoopR_ID,athlete,nba_api_ID,pst_ID
3056245,Malcolm Hill,1630792,800
3056247,Kendrick Nunn,1629134,613
3056273,Derrick Walton Jr.,1628476,396
3056600,Jabari Parker,203953,358
3056602,Semi Ojeleye,1628400,448
3057187,Sterling Brown,1628425,414
3057189,Ben Moore,1628500,457
3057198,Brandon Goodwin,1629164,707
3058030,Paul Watson,1628778,719
3058254,Christian Wood,1626174,253
3058269,Joe Chealey,1629147,-1
3059262,Davon Reed,1628432,450
3059273,Demetrius Jackson,1627743,290
3059276,Jamel Artis,1628503,438
3059280,BJ Johnson,1629168,788
3059281,Tyler Ennis,203898,39
3059285,Devon Hall,1628985,-1
3059306,Johnathan Motley,1628405,431
3059307,Ish Wainright,1630688,795
3059311,Matt Thomas,1629744,601
3059315,Frank Mason III,1628412,475
3059318,Joel Embiid,203954,278
3059319,Andrew Wiggins,203952,514
3059336,Isaiah Taylor,1627819,352
3059358,Deonte Burton,1629126,620
3059409,Nigel Hayes,1628502,462
3062667,DeAndre' Bembry,1627761,285
3062679,Josh Hart,1628404,368
3062744,David Nwaba,1628021,423
3062892,Kay Felder,1627770,235
3062897,Alec Peters,1628409,402
3064230,Cameron Payne,1626166,108
3064237,Antonius Cleveland,1628499,496
3064290,Aaron Gordon,203932,218
3064291,Rondae Hollis-Jefferson,1626178,193
3064308,Jabari Bird,1628444,365
3064320,George King,1628994,-1
3064427,Jordan Bell,1628395,389
3064440,Zach LaVine,203897,265
3064447,Delon Wright,1626153,14
3064457,Nigel Williams-Goss,1628430,581
3064482,Bobby Portis,1626171,429
3064509,James Young,203923,79
3064510,Aaron Harrison,1626151,216
3064511,Andrew Harrison,1626150,353
3064514,Julius Randle,203944,280
3064516,Dakari Johnson,1626177,430
3064517,Jarell Martin,1626185,88
3064520,Jordan Mickey,1626175,131
3064528,Johnathan Williams,1629140,-1
3064539,Sindarius Thornwell,1628414,652
3064559,Damian Jones,1627745,233
3064560,Luke Kornet,1628436,469
3074213,Omer Yurtseven,1630209,729
3074743,Troy Caupain,1628505,-1
3074748,Amida Brimah,1628578,-1
3074752,Terry Rozier,1626179,78
3074765,Isaiah Hicks,1628439,468
3074797,Wes Iwundu,1628411,369
3078284,Noah Vonleh,203943,126
3078286,Troy Williams,1627786,309
3078576,Derrick White,1628401,428
3079021,James Webb III,1627821,461
3102529,Clint Capela,203991,115
3102533,Thanasis Antetokounmpo,203648,119
3113297,Bruno Caboclo,203998,0
3113587,Cristiano Felicio,1626245,56
